label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
-1,1.0,1.0,15.0,15.0,14.0,13.0,11.0,7.0,54.572203,26.503484,4.813643,0.436569,0.001035,0.0,0.0,0.0,0.547568,0.10966,0.0
1,1.0,1.0,26.0,21.0,20.0,18.0,13.0,10.0,35.746604,17.106464,11.827742,7.806147,6.151925,2.69153,0.704032,0.173222,0.551104,0.092183,0.0
-1,1.0,1.0,19.0,18.0,17.0,17.0,14.0,9.0,53.56808,30.041775,4.859127,0.518398,0.004863,0.000973,0.000973,0.000973,0.527151,0.104069,1.0
-1,1.0,1.0,41.0,40.0,40.0,36.0,33.0,24.0,26.245779,10.302899,2.066102,0.104302,0.007669,0.0,0.0,0.0,0.512211,0.124242,0.0
1,1.0,1.0,44.0,43.0,35.0,30.0,20.0,12.0,202.64205,22.30103,10.218327,0.191951,0.0,0.0,0.0,0.0,0.531996,0.143963,1.0
1,1.0,1.0,47.0,47.0,45.0,42.0,39.0,27.0,12.528883,4.043778,0.309542,0.021243,0.0,0.0,0.0,0.0,0.537362,0.121389,0.0
1,1.0,1.0,61.0,61.0,56.0,44.0,29.0,14.0,109.396144,50.783631,34.529118,28.604893,24.396715,9.632533,3.374376,0.72043,0.50387,0.09379,1.0
-1,1.0,1.0,35.0,35.0,34.0,32.0,30.0,22.0,16.740482,8.434313,0.453906,0.0,0.0,0.0,0.0,0.0,0.478857,0.111161,1.0
-1,1.0,0.0,51.0,50.0,49.0,49.0,47.0,32.0,13.388122,3.02962,0.64097,0.112208,0.0,0.0,0.0,0.0,0.497224,0.112208,0.0
-1,1.0,1.0,25.0,25.0,23.0,21.0,18.0,14.0,54.625981,29.248043,5.484677,0.16243,0.011672,0.0,0.0,0.0,0.517036,0.101154,1.0
-1,1.0,1.0,20.0,20.0,20.0,19.0,17.0,12.0,76.019628,8.572461,2.603775,0.31935,0.00102,0.0,0.0,0.0,0.499038,0.113252,1.0
1,1.0,1.0,51.0,46.0,43.0,36.0,29.0,19.0,57.270849,22.744436,15.326308,9.986499,8.13922,1.122044,0.023829,0.0,0.542932,0.102569,0.0
1,1.0,0.0,49.0,47.0,46.0,41.0,34.0,22.0,151.742425,72.263727,39.77549,8.511975,0.772705,0.064138,0.013235,0.00509,0.497997,0.126239,1.0
1,1.0,1.0,47.0,45.0,45.0,42.0,36.0,26.0,28.5045,7.675472,1.572641,0.081556,0.0,0.0,0.0,0.0,0.512511,0.135413,0.0
1,1.0,1.0,45.0,45.0,42.0,37.0,35.0,27.0,33.32654,13.394355,2.895828,0.31563,0.006129,0.0,0.0,0.0,0.512577,0.104189,0.0
1,1.0,1.0,68.0,63.0,63.0,62.0,59.0,43.0,13.976167,4.694983,0.665307,0.154502,0.044144,0.00473,0.001577,0.0,0.529988,0.115089,0.0
-1,1.0,1.0,44.0,44.0,43.0,39.0,38.0,32.0,38.35284,24.203204,10.530105,2.223845,0.41485,0.137255,0.004627,0.0,0.536863,0.092532,0.0
1,1.0,1.0,63.0,63.0,63.0,59.0,57.0,48.0,13.558211,5.366467,0.604079,0.051511,0.0,0.0,0.0,0.0,0.552941,0.112387,0.0
1,1.0,1.0,85.0,75.0,66.0,53.0,43.0,25.0,105.699915,38.534753,22.642112,3.289318,0.530698,0.148595,0.006065,0.006065,0.492917,0.097042,1.0
1,1.0,1.0,73.0,70.0,61.0,51.0,40.0,24.0,286.341351,49.691422,27.729469,5.687412,1.987205,0.517598,0.05443,0.007189,0.530448,0.11913,0.0
1,1.0,1.0,44.0,43.0,41.0,41.0,37.0,29.0,28.3564,6.935636,2.305771,0.323724,0.0,0.0,0.0,0.0,0.502831,0.126741,0.0
1,1.0,1.0,102.0,100.0,100.0,98.0,97.0,89.0,22.991284,8.276677,3.183456,0.713267,0.253194,0.0,0.0,0.0,0.535731,0.092632,0.0
-1,1.0,1.0,46.0,46.0,44.0,40.0,33.0,24.0,72.12952,33.8677,16.518211,8.237633,3.590449,1.536792,0.136501,0.047545,0.537377,0.104293,0.0
-1,1.0,1.0,7.0,7.0,7.0,7.0,6.0,4.0,36.224453,11.398415,1.293318,0.246696,0.163764,0.020995,0.0,0.0,0.529593,0.119674,0.0
1,1.0,1.0,17.0,15.0,13.0,10.0,9.0,5.0,92.212028,35.178966,14.283589,1.009878,0.0,0.0,0.0,0.0,0.492307,0.116642,0.0
1,1.0,1.0,89.0,86.0,79.0,69.0,59.0,37.0,12.236437,6.122027,1.208255,0.748112,0.54242,0.0,0.0,0.0,0.533741,0.103608,0.0
1,1.0,1.0,33.0,33.0,25.0,24.0,18.0,13.0,161.52881,15.548195,9.495251,6.17668,4.163427,2.829711,1.51425,0.764732,0.510175,0.092295,1.0
-1,1.0,1.0,12.0,12.0,12.0,12.0,11.0,9.0,102.516449,61.517328,11.329713,0.700273,0.0,0.0,0.0,0.0,0.487112,0.112914,0.0
1,1.0,1.0,31.0,31.0,27.0,26.0,23.0,13.0,97.33323,55.639066,15.77683,1.829976,0.206909,0.077103,0.003904,0.003904,0.523205,0.121998,1.0
1,1.0,1.0,63.0,62.0,62.0,58.0,53.0,42.0,42.29046,19.897005,10.561198,2.730872,0.40339,0.085245,0.0,0.0,0.468996,0.097422,0.0
1,1.0,1.0,64.0,62.0,60.0,57.0,54.0,46.0,8.482082,3.428348,1.467007,0.356753,0.14878,0.059192,0.035195,0.0,0.513141,0.121584,0.0
1,1.0,1.0,41.0,40.0,38.0,30.0,20.0,13.0,33.526691,24.008112,19.594329,15.376646,13.438483,1.567754,0.374559,0.260428,0.530879,0.128657,0.0
1,1.0,1.0,48.0,46.0,45.0,41.0,35.0,25.0,16.42589,6.074005,0.440212,0.007669,0.0,0.0,0.0,0.0,0.515756,0.116572,0.0
1,1.0,1.0,16.0,15.0,15.0,13.0,11.0,9.0,21.417991,9.85538,3.446116,2.304558,1.74399,1.258981,0.675949,0.315511,0.502433,0.121507,0.0
1,1.0,1.0,64.0,47.0,38.0,32.0,26.0,19.0,110.619574,60.094759,23.128045,4.482978,0.623373,0.207111,0.170382,0.141815,0.493339,0.116308,1.0
-1,1.0,1.0,15.0,15.0,14.0,12.0,10.0,9.0,70.413923,40.163401,11.161267,1.598323,0.317158,0.011568,0.005784,0.000964,0.424173,0.120501,1.0
-1,1.0,1.0,8.0,8.0,8.0,8.0,6.0,4.0,265.056535,75.69221,42.083101,5.101627,0.0,0.0,0.0,0.0,0.491723,0.120623,1.0
1,1.0,1.0,42.0,42.0,37.0,36.0,35.0,26.0,79.513425,58.724897,2.791295,0.420079,0.216964,0.167724,0.144643,0.0,0.558575,0.166185,0.0
-1,1.0,1.0,57.0,57.0,57.0,57.0,55.0,42.0,12.762059,4.590646,1.191501,0.0,0.0,0.0,0.0,0.0,0.505128,0.117428,0.0
-1,1.0,1.0,31.0,30.0,30.0,27.0,26.0,25.0,17.351666,7.234417,0.692609,0.110878,0.0,0.0,0.0,0.0,0.510996,0.106321,0.0
1,1.0,1.0,36.0,35.0,32.0,29.0,27.0,21.0,3.203759,0.024433,0.001527,0.0,0.0,0.0,0.0,0.0,0.545851,0.102313,1.0
1,1.0,1.0,82.0,80.0,78.0,73.0,69.0,44.0,31.493032,8.16948,2.05952,0.452128,0.003118,0.003118,0.0,0.0,0.568194,0.101339,0.0
1,1.0,1.0,28.0,26.0,22.0,17.0,13.0,11.0,138.630709,69.677656,22.844942,2.438363,0.102125,0.005836,0.005836,0.005836,0.47998,0.094344,1.0
1,1.0,1.0,16.0,16.0,16.0,14.0,10.0,5.0,92.843775,29.034117,8.70188,1.259483,0.198051,0.150602,0.030946,0.0,0.535544,0.114498,0.0
-1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,175.245438,10.031977,3.834528,0.017743,0.0,0.0,0.0,0.0,0.520074,0.121068,1.0
-1,1.0,1.0,73.0,71.0,71.0,70.0,70.0,65.0,44.343736,29.424664,6.624892,0.811588,0.056873,0.0,0.0,0.0,0.534769,0.079929,0.0
-1,1.0,1.0,18.0,17.0,16.0,15.0,10.0,9.0,73.076702,24.23646,4.312359,0.142793,0.006893,0.005909,0.005909,0.005909,0.553535,0.087646,0.0
1,1.0,1.0,44.0,43.0,42.0,41.0,39.0,27.0,173.757198,38.295535,21.430906,8.54797,3.135307,1.043,0.17138,0.080959,0.520223,0.114604,1.0
